,Pos,Team,PLD,W,D,L,GF,GA,GD,Pts,xG,DiffGF,xGA,DiffGA,DiffGD,xPts,DiffPts,xPos,DiffPos
0,1,Manchester City,38,29,6,3,99,26,73,93,93.4,5.599999999999994,25.21,0.7899999999999991,4.810000000000002,91.88,1.1200000000000045,1,0
1,2,Liverpool,38,28,8,2,94,26,68,92,93.02,0.980000000000004,32.73,-6.729999999999997,7.710000000000001,86.56,5.439999999999998,2,0
2,3,Chelsea,38,21,11,6,76,33,43,74,69.3,6.700000000000003,35.12,-2.1199999999999974,8.82,73.38,0.6200000000000045,3,0
3,4,Tottenham Hotspur,38,22,5,11,69,40,29,71,67.95,1.0499999999999972,43.7,-3.700000000000003,4.75,66.09,4.909999999999997,4,0
4,5,Arsenal,38,22,3,13,61,48,13,69,63.39,-2.3900000000000006,48.39,-0.39000000000000057,-2.0,64.76,4.239999999999995,5,0
5,6,Manchester United,38,16,10,12,57,57,0,58,57.21,-0.21000000000000085,56.85,0.14999999999999858,-0.35999999999999943,54.52,3.479999999999997,8,2
6,7,West Ham United,38,16,8,14,60,51,9,56,54.98,5.020000000000003,54.88,-3.8800000000000026,8.900000000000006,53.56,2.4399999999999977,10,3
7,8,Leicester City,38,14,10,14,62,59,3,52,49.49,12.509999999999998,66.11,-7.109999999999999,19.619999999999997,42.31,9.689999999999998,15,7
8,9,Brighton,38,12,15,11,42,44,-2,51,49.57,-7.57,47.21,-3.210000000000001,-4.359999999999999,54.18,-3.1799999999999997,9,0
9,10,Wolves,38,15,6,17,38,43,-5,51,39.04,-1.0399999999999991,58.48,-15.479999999999997,14.439999999999998,40.54,10.46,17,7
10,11,Newcastle United,38,13,10,15,44,62,-18,49,41.53,2.469999999999999,62.71,-0.7100000000000009,3.1799999999999997,41.53,7.469999999999999,16,5
11,12,Crystal Palace,38,11,15,12,50,46,4,48,48.84,1.1599999999999966,41.33,4.670000000000002,-3.510000000000005,58.15,-10.149999999999999,6,-6
12,13,Brentford,38,13,7,18,48,56,-8,46,52.89,-4.890000000000001,49.5,6.5,-11.39,56.0,-10.0,7,-6
13,14,Aston Villa,38,13,6,19,52,54,-2,45,43.13,8.869999999999997,53.1,0.8999999999999986,7.969999999999999,46.2,-1.2000000000000028,11,-3
14,15,Southampton,38,9,13,16,43,67,-24,40,47.35,-4.350000000000001,64.56,2.4399999999999977,-6.789999999999999,43.45,-3.450000000000003,14,-1
15,16,Everton,38,11,6,21,43,66,-23,39,44.47,-1.4699999999999989,60.69,5.310000000000002,-6.780000000000001,43.54,-4.539999999999999,13,-3
16,17,Leeds United,38,9,11,18,42,79,-37,38,51.19,-9.189999999999998,71.31,7.689999999999998,-16.879999999999995,43.86,-5.859999999999999,12,-5
17,18,Burnley,38,7,14,17,34,53,-19,35,41.11,-7.109999999999999,60.22,-7.219999999999999,0.10999999999999943,38.1,-3.1000000000000014,18,0
18,19,Watford,38,6,5,27,34,77,-43,23,39.34,-5.340000000000003,67.53,9.469999999999999,-14.810000000000002,35.45,-12.450000000000003,19,0
19,20,Norwich City,38,5,7,26,23,84,-61,22,31.51,-8.510000000000002,80.08,3.9200000000000017,-12.430000000000007,25.04,-3.039999999999999,20,0
